Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
PEOPLE'S INSURANCE PLC,PINS.N0000,41090,71,30.1,29.5,30.0,27.5,27.9,-2.2,-7.31,2022-04-12
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,185648,81,7.3,7.5,7.5,7.1,7.3,0.0,0.0,2022-04-12
PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,730,1,5.4,5.4,5.4,5.4,5.4,0.0,0.0,2022-04-12
PGP GLASS CEYLON PLC,GLAS.N0000,25371,23,10.8,10.9,10.9,10.5,10.6,-0.2,-1.85,2022-04-12
PRIME FINANCE PLC,GSF.N0000,10600,3,19.8,19.5,19.5,19.5,19.5,-0.3,-1.52,2022-04-12
PRIME LANDS RESIDENCIES PLC,PLR.N0000,925017,68,6.2,6.2,6.7,6.1,6.3,0.1,1.61,2022-04-12
PRINTCARE PLC,CARE.N0000,4775,11,29.8,29.8,29.8,28.5,28.5,-1.3,-4.36,2022-04-12
R I L PROPERTY PLC,RIL.N0000,446907,50,6.2,6.5,6.5,6.2,6.2,0.0,0.0,2022-04-12
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,23505,23,4.4,4.7,4.7,4.2,4.4,0.0,0.0,2022-04-12
RAMBODA FALLS PLC,RFL.N0000,380,6,17.0,15.0,17.5,14.0,15.2,-1.8,-10.59,2022-04-12
REGNIS (LANKA) PLC,REG.N0000,35,3,55.8,55.0,55.0,53.1,55.8,0.0,0.0,2022-04-12
RENUKA AGRI FOODS PLC,RAL.N0000,300096,37,3.9,3.8,3.9,3.8,3.8,-0.1,-2.56,2022-04-12
RENUKA CITY HOTELS PLC.,RENU.N0000,100,1,245.0,280.0,280.0,280.0,280.0,35.0,14.29,2022-04-12
RENUKA FOODS PLC,COCO.X0000,811,5,10.6,12.8,12.8,10.4,10.5,-0.1,-0.94,2022-04-12
RENUKA FOODS PLC,COCO.N0000,722,12,14.2,14.0,14.6,13.2,14.0,-0.2,-1.41,2022-04-12
RENUKA HOLDINGS PLC,RHL.X0000,10,1,11.4,11.4,11.4,11.4,11.4,0.0,0.0,2022-04-12
RENUKA HOLDINGS PLC,RHL.N0000,122062,32,10.7,10.0,10.8,9.6,10.0,-0.7,-6.54,2022-04-12
RESUS ENERGY PLC,HPWR.N0000,13404,22,17.1,17.3,17.3,16.8,17.2,0.1,0.58,2022-04-12
