Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
EDEN HOTEL LANKA PLC,EDEN.N0000,14961,6,17.3,17.1,17.1,17.1,17.1,-0.2,-1.16,2023-03-10
ELPITIYA PLANTATIONS PLC,ELPL.N0000,1000,1,80.5,80.1,80.1,80.1,80.1,-0.4,-0.5,2023-03-10
Ex-pack Corrugated Cartons PLC,PACK.N0000,94369,15,16.1,16.0,16.5,16.0,16.5,0.4,2.48,2023-03-10
EXPOLANKA HOLDINGS PLC,EXPO.N0000,4907,6,151.25,151.25,151.25,151.25,151.25,0.0,0.0,2023-03-10
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,46385,7,37.0,37.0,37.0,36.7,36.7,-0.3,-0.81,2023-03-10
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,1001,2,13.8,13.8,13.8,13.8,13.8,0.0,0.0,2023-03-10
HATTON NATIONAL BANK PLC,HNB.N0000,1202,4,132.0,132.0,132.0,131.0,132.0,0.0,0.0,2023-03-10
HAYCARB PLC,HAYC.N0000,1000,1,59.0,59.9,59.9,59.9,59.9,0.9,1.53,2023-03-10
HAYLEYS FABRIC PLC,MGT.N0000,450,1,25.9,26.0,26.0,26.0,26.0,0.1,0.39,2023-03-10
HAYLEYS PLC,HAYL.N0000,3147,6,78.2,78.0,78.6,78.0,78.6,0.4,0.51,2023-03-10
HELA APPAREL HOLDINGS PLC,HELA.N0000,2300,2,8.6,8.7,8.7,8.7,8.7,0.1,1.16,2023-03-10
HEMAS HOLDINGS PLC,HHL.N0000,535,1,68.0,68.0,68.0,68.0,68.0,0.0,0.0,2023-03-10
HIKKADUWA BEACH RESORT PLC,CITH.N0000,200,1,5.5,5.5,5.5,5.5,5.5,0.0,0.0,2023-03-10
HNB ASSURANCE PLC,HASU.N0000,275,2,50.1,50.3,50.3,50.3,50.3,0.2,0.4,2023-03-10
HNB FINANCE PLC,HNBF.N0000,4010,7,5.8,6.0,6.0,5.9,5.9,0.1,1.72,2023-03-10
hSenid Business Solutions PLC,HBS.N0000,1094,2,16.1,16.2,16.2,16.2,16.2,0.1,0.62,2023-03-10
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,100001,2,0.3,0.3,0.4,0.3,0.4,0.1,33.33,2023-03-10
